question,answer
آیا دوره مدرک دارد؟,"بله، پس از اتمام دوره و انجام پروژه نهایی، مدرک معتبر شرکت برای شما صادر می‌شود."
هزینه شرکت در دوره چقدر است؟,هزینه دوره ۴۰۰ هزار تومان است و امکان پرداخت قسطی هم وجود دارد.
آیا نیاز به پیش‌نیاز خاصی دارد؟,"خیر، این دوره از صفر شروع می‌شود و مناسب مبتدی‌هاست."
مدت زمان دوره چقدر است؟,طول دوره ۶ هفته است و هر هفته دو جلسه ۹۰ دقیقه‌ای برگزار می‌شود.
آیا جلسات دوره ضبط می‌شوند؟,"بله، تمام جلسات ضبط می‌شوند و ویدیوها در پنل کاربری شما قرار می‌گیرد."
چگونه می‌توانم سؤالاتم را بپرسم؟,از طریق گروه تلگرام ویژه دانشجویان و همچنین بخش تیکت پشتیبانی در سایت.
آیا پشتیبانی بعد از پایان دوره هم وجود دارد؟,"بله، تا یک ماه بعد از پایان دوره می‌توانید از پشتیبانی استفاده کنید."
آیا امکان کنسل کردن ثبت‌نام وجود دارد؟,"تا ۷۲ ساعت قبل از شروع دوره، امکان انصراف و بازگشت وجه وجود دارد."
آیا این دوره برای بازار کار مناسب است؟,"بله، تمرکز دوره روی پروژه‌محور بودن و آماده‌سازی شما برای ورود به بازار کار است."
آیا به تمرین‌ها بازخورد داده می‌شود؟,"بله، تمرین‌های شما توسط منتور بررسی می‌شود و بازخورد دقیق دریافت می‌کنید."
